SrNo,Team 1,Team 2,Date,Time,Venue,Rounf Number,Result
1,England,New Zealand,05-Oct,2:00 PM,Ahmedabad ,1,
2,Pakistan,Netherlands,06-Oct,2:00 PM,Hyderabad,1,
3,Bangladesh,Afghanistan,07-Oct,10:30 AM,Dharamshala ,1,
4,South Africa,Sri Lanka ,07-Oct,2:00 PM,Delhi,1,
5,India,Australia,08-Oct,2:00 PM,Chennai,1,
6,New Zealand,Netherlands,09-Oct,2:00 PM,Hyderabad ,1,
7,England,Bangladesh,10-Oct,10:30 AM,Dharamshala ,1,
8,Pakistan,Sri Lanka,10-Oct,2:00 PM,Hyderabad,1,
9,India,Afghanistan,11-Oct,2:00 PM,Delhi ,1,
10,Australia,South Africa,12-Oct,2:00 PM,Lucknow,1,
11,New Zealand,Bangladesh,13-Oct,2:00 PM,Chennai,1,
12,India,Pakistan,14-Oct,2:00 PM,Ahmedabad,1,
13,England,Afghanistan,15-Oct,2:00 PM,Delhi ,1,
14,Australia,Sri Lanka,16-Oct,2:00 PM,Lucknow,1,
15,South Africa,Netherlands,17-Oct,2:00 PM,Dharamshala ,1,
16,New Zealand,Afghanistan,18-Oct,2:00 PM,Chennai,1,
17,India,Bangladesh,19-Oct,2:00 PM,Pune,1,
18,Australia,Pakistan,20-Oct,2:00 PM,Bengaluru ,1,
19,Netherlands,Sri Lanka,21-Oct,10:30 AM,Lucknow ,1,
20,England,South Africa,21-Oct,2:00 PM,Mumbai,1,
21,India,New Zealand,22-Oct,2:00 PM,Dharamshala ,1,
22,Pakistan,Afghanistan,23-Oct,2:00 PM,Chennai,1,
23,South Africa,Bangladesh,24-Oct,2:00 PM,Mumbai ,1,
24,Australia,Netherlands,25-Oct,2:00 PM,Delhi,1,
25,England,Sri Lanka,26-Oct,2:00 PM,Bengaluru,1,
26,Pakistan,South Africa,27-Oct,2:00 PM,Chennai,1,
27,Australia,New Zealand,28-Oct,10:30 AM,Dharamshala ,1,
28,Netherlands,Bangladesh,28-Oct,2:00 PM,Kolkata ,1,
29,India,England,29-Oct,2:00 PM,Lucknow ,1,
30,Afghanistan,Sri Lanka,30-Oct,2:00 PM,Pune ,1,
31,Pakistan,Bangladesh,31-Oct,2:00 PM,Kolkata ,1,
32,New Zealand,South Africa,01-Nov,2:00 PM,Pune,1,
33,India,Sri Lanka,02-Nov,2:00 PM,Mumbai ,1,
34,Netherlands,Afghanistan,03-Nov,2:00 PM,Lucknow ,1,
35,New Zealand,Pakistan,04-Nov,10:30 AM,Bengaluru ,1,
36,England,Australia,04-Nov,2:00 PM,Ahmedabad ,1,
37,India,South Africa,05-Nov,2:00 PM,Kolkata ,1,
38,Bangladesh,Sri Lanka,06-Nov,2:00 PM,Delhi,1,
39,Australia,Afghanistan,07-Nov,2:00 PM,Mumbai,1,
40,England,Netherlands,08-Nov,2:00 PM,Pune,1,
41,New Zealand,Sri Lanka,09-Nov,2:00 PM,Bengaluru,1,
42,South Africa,Afghanistan,10-Nov,2:00 PM,Ahmedabad ,1,
43,Australia,Bangladesh,11-Nov,10:30 AM,Pune,1,
44,England,Pakistan,11-Nov,2:00 PM,Kolkata ,1,
45,India,Netherlands,12-Nov,2:00 PM,Bengaluru ,1,
46,TBC,TBC,15-Nov,2:00 PM,Mumbai,Semi Final,
47,TBC,TBC,16-Nov,2:00 PM,Kolkata ,Semi Final,
48,TBC,TBC,19-Nov,2:00 PM,Ahmedabad ,Final,
